open_time,close_time,open,high,low,close,volume,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,price_change_pct
2018-02-19 00:00:00.000000,2018-02-19 09:00:00.000000,11966000.00000000,12663000.00000000,11862000.00000000,12649000.00000000,1519084802135,278412584740.43640000,22700.15187526,11966000.00000000,683000.00000000,0.05707839
2018-02-20 00:00:00.000000,2018-02-20 09:00:00.000000,12649000.00000000,14149000.00000000,12645000.00000000,13548000.00000000,1519171202070,547143024491.79083000,41015.58477391,12649000.00000000,899000.00000000,0.07107281
2018-02-21 00:00:00.000000,2018-02-21 09:00:00.000000,13542000.00000000,13650000.00000000,12411000.00000000,12815000.00000000,1519257602795,492964886432.19590000,37637.76832665,13548000.00000000,-733000.00000000,-0.05410393
2018-02-22 00:00:00.000000,2018-02-22 09:00:00.000000,12823000.00000000,13031000.00000000,11660000.00000000,11763000.00000000,1519344002915,454695464304.42505000,37219.85617238,12815000.00000000,-1052000.00000000,-0.08209130
2018-02-23 00:00:00.000000,2018-02-23 09:00:00.000000,11761000.00000000,12170000.00000000,11271000.00000000,12065000.00000000,1519430402780,365496367275.31226000,31053.11554548,11763000.00000000,302000.00000000,0.02567372
2018-02-24 00:00:00.000000,2018-02-24 09:00:00.000000,12065000.00000000,12359000.00000000,11281000.00000000,11553000.00000000,1519516801194,257929366922.33112000,21762.37417394,12065000.00000000,-512000.00000000,-0.04243680
2018-02-25 00:00:00.000000,2018-02-25 09:00:00.000000,11553000.00000000,11613000.00000000,10805000.00000000,11230000.00000000,1519603202566,185760963538.68570000,16499.63847015,11553000.00000000,-323000.00000000,-0.02795811
2018-02-26 00:00:00.000000,2018-02-26 09:00:00.000000,11230000.00000000,11884000.00000000,10828000.00000000,11773000.00000000,1519689602848,276455308845.72000000,24307.10812212,11230000.00000000,543000.00000000,0.04835263
2018-02-27 00:00:00.000000,2018-02-27 09:00:00.000000,11778000.00000000,12165000.00000000,11463000.00000000,11951000.00000000,1519776003191,244517108299.52618000,20616.46007981,11773000.00000000,178000.00000000,0.01511934
2018-02-28 00:00:00.000000,2018-02-28 09:00:00.000000,11957000.00000000,12405000.00000000,11777000.00000000,11860000.00000000,1519862403088,254046612860.76138000,21114.42802459,11952000.00000000,-92000.00000000,-0.00769746
